"","model1_ASC","model1_DES","model2_ASC","model2_DES","model3_ASC","model3_DES","model4_ASC","model4_DES"
"d__Bacteria--p__Firmicutes",0.914957714582519,0.718829168449063,0.624334955169326,0.481851724961237,0.972317812084388,0.811922256048908,0.974817410519866,0.750485280044082
"d__Bacteria--p__Firmicutes--c__Clostridia",0.915335264728371,0.753292133584509,0.624334955169326,0.500996866296096,0.94877591409675,0.784475665170305,0.94213480324154,0.739985227664106
"d__Bacteria--p__Firmicutes--c__Clostridia--o__Clostridiales",0.915335264728371,0.753292133584509,0.624334955169326,0.500996866296096,0.94877591409675,0.784475665170305,0.94213480324154,0.739985227664106
"d__Bacteria--p__Firmicutes--c__Clostridia--o__Clostridiales--f__Lachnospiraceae",0.517744850821231,0.585020471994398,0.316768267434684,0.341373242045325,0.761818795098104,0.663026878237942,0.832589932494211,0.565959207486402
"d__Bacteria--p__Bacteroidetes",0.878882403567746,0.783826297779966,0.728491274813583,0.709830661881292,0.94877591409675,0.905090332197864,0.94213480324154,0.859324428080888
"d__Bacteria--p__Bacteroidetes--c__Bacteroidia",0.878882403567746,0.783826297779966,0.728491274813583,0.709830661881292,0.94877591409675,0.905090332197864,0.94213480324154,0.859324428080888
"d__Bacteria--p__Bacteroidetes--c__Bacteroidia--o__Bacteroidales",0.903703808335602,0.785278984724491,0.750726413439856,0.710590800641926,0.94877591409675,0.905090332197864,0.94213480324154,0.859324428080888
"d__Bacteria--p__Bacteroidetes--c__Bacteroidia--o__Bacteroidales--f__Bacteroidaceae",0.993059764925698,0.753292133584509,0.971593788948509,0.82133932173188,0.94877591409675,0.745072747796388,0.967645755779071,0.800751702537584
"d__Bacteria--p__Bacteroidetes--c__Bacteroidia--o__Bacteroidales--f__Bacteroidaceae--g__Bacteroides",0.993059764925698,0.753292133584509,0.971593788948509,0.82133932173188,0.94877591409675,0.745072747796388,0.967645755779071,0.800751702537584
"d__Bacteria--p__Firmicutes--c__Clostridia--o__Clostridiales--f__Lachnospiraceae--__",0.811943319915454,0.841957589057259,0.514548704953511,0.678535646930286,0.927489762121742,0.784475665170305,0.9224676382307,0.739985227664106
"d__Bacteria--p__Firmicutes--c__Clostridia--o__Clostridiales--f__Lachnospiraceae--__--__",0.811943319915454,0.841957589057259,0.514548704953511,0.678535646930286,0.927489762121742,0.784475665170305,0.9224676382307,0.739985227664106
"d__Bacteria--p__Bacteroidetes--c__Bacteroidia--o__Bacteroidales--f__Bacteroidaceae--g__Bacteroides--__",0.942180384632749,0.736047223709348,0.989803132481253,0.778827597714815,0.94877591409675,0.678745012918443,0.94213480324154,0.739985227664106
"d__Bacteria--p__Proteobacteria",0.257502310595756,0.0634424310454148,0.177512978192498,0.0453645112452465,0.369084257794812,0.196297527603193,0.279012383175234,0.210065255489436
"d__Bacteria--p__Proteobacteria--c__Gammaproteobacteria",0.257502310595756,0.0634424310454148,0.177512978192498,0.0453645112452465,0.369084257794812,0.195926951359003,0.279012383175234,0.210065255489436
"d__Bacteria--p__Proteobacteria--c__Gammaproteobacteria--o__Enterobacteriales",0.279404543441817,0.158084276085266,0.177512978192498,0.0812384458312378,0.406800620467254,0.300476638545171,0.297767881711061,0.322099673487227
"d__Bacteria--p__Proteobacteria--c__Gammaproteobacteria--o__Enterobacteriales--f__Enterobacteriaceae",0.279404543441817,0.158084276085266,0.177512978192498,0.0812384458312378,0.406800620467254,0.300476638545171,0.297767881711061,0.322099673487227
"d__Bacteria--p__Firmicutes--c__Clostridia--o__Clostridiales--f__Ruminococcaceae",0.546095055433915,0.736047223709348,0.692804565910114,0.778827597714815,0.749922261816441,0.67294273511203,0.903272733944688,0.749837522462659
"d__Bacteria--p__Proteobacteria--c__Gammaproteobacteria--o__Enterobacteriales--f__Enterobacteriaceae--g__Escherichia-Shigella",0.369216185106357,0.283670942763047,0.242271712762059,0.15618774884496,0.406800620467254,0.375068755977474,0.39522695299267,0.36577871903548
"d__Bacteria--p__Proteobacteria--c__Gammaproteobacteria--o__Enterobacteriales--f__Enterobacteriaceae--g__Escherichia-Shigella--__",0.369216185106357,0.283670942763047,0.242271712762059,0.15618774884496,0.406800620467254,0.375068755977474,0.39522695299267,0.36577871903548
"d__Bacteria--p__Firmicutes--c__Clostridia--o__Clostridiales--f__Ruminococcaceae--g__Faecalibacterium",0.369216185106357,0.352320386562007,0.510302265752177,0.458399149423033,0.406800620467254,0.236315880798362,0.641094183358242,0.406386350016428
"d__Bacteria--p__Firmicutes--c__Clostridia--o__Clostridiales--f__Ruminococcaceae--g__Faecalibacterium--__",0.369216185106357,0.352320386562007,0.510302265752177,0.458399149423033,0.406800620467254,0.236315880798362,0.641094183358242,0.406386350016428
"d__Bacteria--p__Firmicutes--c__Negativicutes",0.942180384632749,0.841957589057259,0.969007959568816,0.820468413355453,0.94877591409675,0.773259441270615,0.903272733944688,0.739985227664106
"d__Bacteria--p__Firmicutes--c__Negativicutes--o__Selenomonadales",0.942180384632749,0.841957589057259,0.969007959568816,0.820468413355453,0.94877591409675,0.773259441270615,0.903272733944688,0.739985227664106
"d__Bacteria--p__Actinobacteria",0.361075055298805,0.0677588735598754,0.305749794542836,0.0607136647546814,0.459009988746804,0.196297527603193,0.664332685248519,0.301172609356797
"d__Bacteria--p__Firmicutes--c__Negativicutes--o__Selenomonadales--f__Veillonellaceae",0.993059764925698,0.997366043928627,0.981952969638911,0.888893540241299,0.94877591409675,0.693122066614431,0.886108214613279,0.677157784886589
"d__Bacteria--p__Bacteroidetes--c__Bacteroidia--o__Bacteroidales--f__Prevotellaceae",0.354665645861496,0.116232396219479,0.358844977182231,0.138749510080376,0.406800620467254,0.195926951359003,0.614673180797376,0.31363588700806
"d__Bacteria--p__Actinobacteria--c__Coriobacteriia",0.257502310595756,0.0591924063830413,0.197883748843505,0.0453645112452465,0.406800620467254,0.114513981036324,0.435053182171374,0.210065255489436
"d__Bacteria--p__Actinobacteria--c__Coriobacteriia--o__Coriobacteriales",0.257502310595756,0.0591924063830413,0.197883748843505,0.0453645112452465,0.406800620467254,0.114513981036324,0.435053182171374,0.210065255489436
"d__Bacteria--p__Firmicutes--c__Clostridia--o__Clostridiales--f__Lachnospiraceae--g__Blautia",0.400299362333696,0.190975123219374,0.335535300313883,0.0987511498889662,0.900357450465493,0.480345443726767,0.903272733944688,0.556082752184183
"d__Bacteria--p__Firmicutes--c__Clostridia--o__Clostridiales--f__Lachnospiraceae--g__Blautia--__",0.400299362333696,0.190975123219374,0.335535300313883,0.0987511498889662,0.900357450465493,0.480345443726767,0.903272733944688,0.556082752184183
"d__Bacteria--p__Firmicutes--c__Bacilli",0.517744850821231,0.608373815714283,0.575955794038391,0.559511791769075,0.654128269696307,0.721807960463152,0.715606968031754,0.734701154064571
"d__Bacteria--p__Firmicutes--c__Erysipelotrichia",0.517744850821231,0.287316709231371,0.595218021084561,0.341373242045325,0.94877591409675,0.663026878237942,0.917647270504764,0.609038399641483
"d__Bacteria--p__Firmicutes--c__Erysipelotrichia--o__Erysipelotrichales",0.517744850821231,0.287316709231371,0.595218021084561,0.341373242045325,0.94877591409675,0.663026878237942,0.917647270504764,0.609038399641483
"d__Bacteria--p__Firmicutes--c__Erysipelotrichia--o__Erysipelotrichales--f__Erysipelotrichaceae",0.517744850821231,0.287316709231371,0.595218021084561,0.341373242045325,0.94877591409675,0.663026878237942,0.917647270504764,0.609038399641483
"d__Bacteria--p__Actinobacteria--c__Coriobacteriia--o__Coriobacteriales--f__Coriobacteriaceae",0.279404543441817,0.0634424310454148,0.242271712762059,0.0453645112452465,0.406800620467254,0.164278517807981,0.536604665485781,0.210065255489436
"d__Bacteria--p__Actinobacteria--c__Coriobacteriia--o__Coriobacteriales--f__Coriobacteriaceae--g__Collinsella",0.279404543441817,0.0634424310454148,0.242271712762059,0.0453645112452465,0.406800620467254,0.164278517807981,0.536604665485781,0.210065255489436
"d__Bacteria--p__Actinobacteria--c__Coriobacteriia--o__Coriobacteriales--f__Coriobacteriaceae--g__Collinsella--__",0.279404543441817,0.0634424310454148,0.242271712762059,0.0453645112452465,0.406800620467254,0.164278517807981,0.536604665485781,0.210065255489436
"d__Bacteria--p__Firmicutes--c__Bacilli--o__Lactobacillales",0.517744850821231,0.0634424310454148,0.564679734125134,0.0812384458312378,0.631608059518578,0.114513981036324,0.64705253763068,0.210065255489436
"d__Bacteria--p__Proteobacteria--c__Gammaproteobacteria--o__Betaproteobacteriales",0.257502310595756,0.00875344203362374,0.177512978192498,0.0171918323235334,0.263416336792932,0.0151232934744305,0.234621182955629,0.0113302050940057
"d__Bacteria--p__Proteobacteria--c__Gammaproteobacteria--o__Betaproteobacteriales--f__Burkholderiaceae",0.257502310595756,0.024044389609782,0.197883748843505,0.0372117795704062,0.263416336792932,0.0357006548936641,0.234621182955629,0.0269466215658607
"d__Bacteria--p__Proteobacteria--c__Gammaproteobacteria--o__Enterobacteriales--f__Enterobacteriaceae--__",0.493546741702082,0.518367536106624,0.514548704953511,0.492358125838216,0.927489762121742,0.745072747796388,0.837768464465458,0.739985227664106
"d__Bacteria--p__Proteobacteria--c__Gammaproteobacteria--o__Enterobacteriales--f__Enterobacteriaceae--__--__",0.493546741702082,0.518367536106624,0.514548704953511,0.492358125838216,0.927489762121742,0.745072747796388,0.837768464465458,0.739985227664106
"d__Bacteria--p__Firmicutes--c__Clostridia--o__Clostridiales--f__Lachnospiraceae--g__Ruminococcus_gnavus_group",0.993059764925698,0.929999100767654,0.997016293659734,0.82133932173188,0.94877591409675,0.941038520052736,0.94213480324154,0.978997713270064
"d__Bacteria--p__Firmicutes--c__Clostridia--o__Clostridiales--f__Lachnospiraceae--g__Ruminococcus_gnavus_group--__",0.993059764925698,0.929999100767654,0.997016293659734,0.82133932173188,0.94877591409675,0.941038520052736,0.94213480324154,0.978997713270064
"d__Bacteria--p__Bacteroidetes--c__Bacteroidia--o__Bacteroidales--f__Tannerellaceae",0.859973054413077,0.753292133584509,0.76784966955755,0.717120144988501,0.982120528283545,0.941038520052736,0.974817410519866,0.978997713270064
"d__Bacteria--p__Bacteroidetes--c__Bacteroidia--o__Bacteroidales--f__Tannerellaceae--g__Parabacteroides",0.878882403567746,0.773984728843074,0.825488856017732,0.778827597714815,0.982120528283545,0.965982511566446,0.974817410519866,0.968136933466125
"d__Bacteria--p__Bacteroidetes--c__Bacteroidia--o__Bacteroidales--f__Prevotellaceae--g__Prevotella_9",0.400299362333696,0.267995841253545,0.429616853237597,0.172915559324322,0.555364084675072,0.236315880798362,0.691676710879827,0.352335118566665
"d__Bacteria--p__Bacteroidetes--c__Bacteroidia--o__Bacteroidales--f__Prevotellaceae--g__Prevotella_9--__",0.400299362333696,0.277930310565371,0.429616853237597,0.176384810648123,0.555364084675072,0.236315880798362,0.691676710879827,0.352335118566665
"d__Bacteria--p__Fusobacteria",0.349624897544019,0.287316709231371,0.316768267434684,0.283308048069396,0.406800620467254,0.435280454436762,0.614673180797376,0.513667533556772
"d__Bacteria--p__Fusobacteria--c__Fusobacteriia",0.349624897544019,0.287316709231371,0.316768267434684,0.283308048069396,0.406800620467254,0.435280454436762,0.614673180797376,0.513667533556772
"d__Bacteria--p__Fusobacteria--c__Fusobacteriia--o__Fusobacteriales",0.349624897544019,0.287316709231371,0.316768267434684,0.283308048069396,0.406800620467254,0.435280454436762,0.614673180797376,0.513667533556772
"d__Bacteria--p__Fusobacteria--c__Fusobacteriia--o__Fusobacteriales--f__Fusobacteriaceae",0.349624897544019,0.287316709231371,0.316768267434684,0.283308048069396,0.406800620467254,0.435280454436762,0.614673180797376,0.513667533556772
"d__Bacteria--p__Fusobacteria--c__Fusobacteriia--o__Fusobacteriales--f__Fusobacteriaceae--g__Fusobacterium",0.349624897544019,0.287316709231371,0.316768267434684,0.283308048069396,0.406800620467254,0.435280454436762,0.614673180797376,0.513667533556772
"d__Bacteria--p__Actinobacteria--c__Actinobacteria",0.878882403567746,0.753292133584509,0.748155557939657,0.773183755411928,0.94877591409675,0.663026878237942,0.94213480324154,0.636181290822097
"d__Bacteria--p__Firmicutes--c__Bacilli--o__Lactobacillales--f__Streptococcaceae",0.535344875328618,0.0634424310454148,0.624334955169326,0.0812384458312378,0.654128269696307,0.114513981036324,0.691676710879827,0.210065255489436
"d__Bacteria--p__Firmicutes--c__Bacilli--o__Lactobacillales--f__Streptococcaceae--g__Streptococcus",0.535344875328618,0.0634424310454148,0.624334955169326,0.0812384458312378,0.654128269696307,0.114513981036324,0.691676710879827,0.210065255489436
"d__Bacteria--p__Firmicutes--c__Bacilli--o__Lactobacillales--f__Streptococcaceae--g__Streptococcus--__",0.535344875328618,0.0634424310454148,0.624334955169326,0.0812384458312378,0.654128269696307,0.114513981036324,0.691676710879827,0.210065255489436
"d__Bacteria--p__Firmicutes--c__Clostridia--o__Clostridiales--f__Clostridiaceae_1",0.859973054413077,0.755807993199511,0.915954318248487,0.778827597714815,0.981303178787663,0.941038520052736,0.961523212884376,0.78029678234103
"d__Bacteria--p__Firmicutes--c__Negativicutes--o__Selenomonadales--f__Acidaminococcaceae",0.915335264728371,0.608373815714283,0.825488856017732,0.458399149423033,0.968084954061556,0.784475665170305,0.977500347123259,0.750485280044082
"d__Bacteria--p__Firmicutes--c__Negativicutes--o__Selenomonadales--f__Veillonellaceae--g__Megasphaera",0.993059764925698,0.753292133584509,0.948574476450962,0.82133932173188,0.927489762121742,0.891651419072784,0.864885422506212,0.867366666071396
"d__Bacteria--p__Firmicutes--c__Negativicutes--o__Selenomonadales--f__Veillonellaceae--g__Veillonella",0.993059764925698,0.435628407874986,0.948574476450962,0.500719298857681,0.94877591409675,0.663026878237942,0.974817410519866,0.609038399641483
"d__Bacteria--p__Firmicutes--c__Clostridia--o__Clostridiales--f__Ruminococcaceae--g__Subdoligranulum",0.942180384632749,0.673862702872084,0.916503932531163,0.583925429640773,0.982120528283545,0.784475665170305,0.967645755779071,0.859324428080888
"d__Bacteria--p__Firmicutes--c__Clostridia--o__Clostridiales--f__Ruminococcaceae--g__Subdoligranulum--__",0.942180384632749,0.677672048851171,0.916503932531163,0.583925429640773,0.982120528283545,0.784475665170305,0.967645755779071,0.864616316535731
"d__Bacteria--p__Firmicutes--c__Clostridia--o__Clostridiales--f__Lachnospiraceae--g__Roseburia",0.903703808335602,0.736047223709348,0.916503932531163,0.777927100784802,0.94877591409675,0.745072747796388,0.9224676382307,0.739985227664106
"d__Bacteria--p__Firmicutes--c__Clostridia--o__Clostridiales--f__Lachnospiraceae--g__Roseburia--__",0.903703808335602,0.736047223709348,0.916503932531163,0.777927100784802,0.94877591409675,0.745072747796388,0.9224676382307,0.739985227664106
"d__Bacteria--p__Firmicutes--c__Negativicutes--o__Selenomonadales--f__Veillonellaceae--g__Veillonella--__",0.993059764925698,0.423645592726945,0.948574476450962,0.49536688124211,0.94877591409675,0.663026878237942,0.974817410519866,0.587600541010004
"d__Bacteria--p__Fusobacteria--c__Fusobacteriia--o__Fusobacteriales--f__Fusobacteriaceae--g__Fusobacterium--__",0.279404543441817,0.287316709231371,0.299729309596923,0.329752815509122,0.406800620467254,0.482586920638507,0.536604665485781,0.51993789835443
"d__Bacteria--p__Firmicutes--c__Erysipelotrichia--o__Erysipelotrichales--f__Erysipelotrichaceae--g__Erysipelatoclostridium",0.814644892238888,0.542608095750543,0.819865763560113,0.555298502718644,0.94877591409675,0.663026878237942,0.903272733944688,0.563991477765844
"d__Bacteria--p__Proteobacteria--c__Gammaproteobacteria--o__Betaproteobacteriales--f__Burkholderiaceae--g__Sutterella",0.349624897544019,0.0634424310454148,0.305749794542836,0.0453645112452465,0.369084257794812,0.0789854355910256,0.379900165647128,0.1707957406022
"d__Bacteria--p__Firmicutes--c__Erysipelotrichia--o__Erysipelotrichales--f__Erysipelotrichaceae--g__Erysipelatoclostridium--__",0.814644892238888,0.542608095750543,0.835158173237447,0.551716405865343,0.94877591409675,0.663026878237942,0.904129916278302,0.563991477765844
"d__Bacteria--p__Firmicutes--c__Clostridia--o__Clostridiales--f__Peptostreptococcaceae",0.517744850821231,0.542608095750543,0.552267014527971,0.642636984963601,0.812328052741874,0.693122066614431,0.837768464465458,0.692104516817238
"d__Bacteria--p__Proteobacteria--c__Gammaproteobacteria--o__Betaproteobacteriales--f__Burkholderiaceae--g__Sutterella--__",0.279404543441817,0.0576764245089636,0.242271712762059,0.0453645112452465,0.328567959086473,0.0663020054513577,0.279012383175234,0.14717257933749
"d__Bacteria--p__Firmicutes--c__Clostridia--o__Clostridiales--f__Lachnospiraceae--g__Ruminococcus_torques_group",0.993059764925698,0.736047223709348,0.981952969638911,0.777927100784802,0.94877591409675,0.952978847390067,0.974817410519866,0.871803055189468
"d__Bacteria--p__Firmicutes--c__Clostridia--o__Clostridiales--f__Lachnospiraceae--g__Ruminococcus_torques_group--__",0.993059764925698,0.736047223709348,0.981952969638911,0.777927100784802,0.94877591409675,0.952978847390067,0.974817410519866,0.871803055189468
"d__Bacteria--p__Proteobacteria--c__Gammaproteobacteria--o__Pasteurellales",0.708218041286855,0.0634424310454148,0.63716294774646,0.0812384458312378,0.927489762121742,0.195926951359003,0.94213480324154,0.326880985282157
"d__Bacteria--p__Proteobacteria--c__Gammaproteobacteria--o__Pasteurellales--f__Pasteurellaceae",0.708218041286855,0.0634424310454148,0.63716294774646,0.0812384458312378,0.927489762121742,0.195926951359003,0.94213480324154,0.326880985282157
"d__Bacteria--p__Firmicutes--c__Negativicutes--o__Selenomonadales--f__Veillonellaceae--g__Megasphaera--s__uncultured_organism",0.913394274811025,0.735016063280857,0.969007959568816,0.778827597714815,0.94877591409675,0.964864622335289,0.94213480324154,0.958318744689668
"d__Bacteria--p__Bacteroidetes--c__Bacteroidia--o__Bacteroidales--f__Tannerellaceae--g__Parabacteroides--__",0.690836932612636,0.753292133584509,0.63716294774646,0.698921851691543,0.94877591409675,0.870055866463552,0.967645755779071,0.898417001000881
"d__Bacteria--p__Verrucomicrobia",0.993059764925698,0.929999100767654,0.943128652896191,0.778827597714815,0.94877591409675,0.888950382791546,0.967645755779071,0.898417001000881
"d__Bacteria--p__Verrucomicrobia--c__Verrucomicrobiae",0.993059764925698,0.929999100767654,0.943128652896191,0.778827597714815,0.94877591409675,0.888950382791546,0.967645755779071,0.898417001000881
"d__Bacteria--p__Verrucomicrobia--c__Verrucomicrobiae--o__Verrucomicrobiales",0.993059764925698,0.929999100767654,0.943128652896191,0.778827597714815,0.94877591409675,0.888950382791546,0.967645755779071,0.898417001000881
"d__Bacteria--p__Verrucomicrobia--c__Verrucomicrobiae--o__Verrucomicrobiales--f__Akkermansiaceae",0.993059764925698,0.929999100767654,0.943128652896191,0.778827597714815,0.94877591409675,0.888950382791546,0.967645755779071,0.898417001000881
"d__Bacteria--p__Verrucomicrobia--c__Verrucomicrobiae--o__Verrucomicrobiales--f__Akkermansiaceae--g__Akkermansia",0.993059764925698,0.929999100767654,0.943128652896191,0.778827597714815,0.94877591409675,0.888950382791546,0.967645755779071,0.898417001000881
"d__Bacteria--p__Bacteroidetes--c__Bacteroidia--o__Bacteroidales--f__Rikenellaceae",0.859973054413077,0.773984728843074,0.916503932531163,0.656529386387363,0.94877591409675,0.784475665170305,0.974817410519866,0.617526472978341
"d__Bacteria--p__Firmicutes--c__Negativicutes--o__Selenomonadales--f__Acidaminococcaceae--g__Phascolarctobacterium",0.859973054413077,0.549850022923722,0.728491274813583,0.444315104560994,0.94877591409675,0.663026878237942,0.903272733944688,0.609038399641483
"d__Bacteria--p__Bacteroidetes--c__Bacteroidia--o__Bacteroidales--f__Rikenellaceae--g__Alistipes",0.917245860079151,0.718829168449063,0.971593788948509,0.49536688124211,0.94877591409675,0.693122066614431,0.974817410519866,0.550519353941168
"d__Bacteria--p__Bacteroidetes--c__Bacteroidia--o__Bacteroidales--f__Rikenellaceae--g__Alistipes--__",0.917245860079151,0.719903035081142,0.971593788948509,0.498089906712978,0.94877591409675,0.706277737304915,0.974817410519866,0.556082752184183
"d__Bacteria--p__Proteobacteria--c__Gammaproteobacteria--o__Xanthomonadales",0.984265940042685,0.283670942763047,0.916503932531163,0.283308048069396,0.982120528283545,0.444431473756199,0.939487034427857,0.550519353941168
"d__Bacteria--p__Firmicutes--c__Clostridia--o__Clostridiales--f__Peptostreptococcaceae--__",0.535344875328618,0.608373815714283,0.552267014527971,0.659715786546456,0.927489762121742,0.745072747796388,0.9224676382307,0.739985227664106
"d__Bacteria--p__Firmicutes--c__Clostridia--o__Clostridiales--f__Peptostreptococcaceae--__--__",0.535344875328618,0.608373815714283,0.552267014527971,0.659715786546456,0.927489762121742,0.745072747796388,0.9224676382307,0.739985227664106
"d__Bacteria--p__Proteobacteria--c__Gammaproteobacteria--o__Pasteurellales--f__Pasteurellaceae--g__Haemophilus",0.789956766372311,0.0576764245089636,0.692804565910114,0.0453645112452465,0.927489762121742,0.114513981036324,0.94213480324154,0.232202978617621
"d__Bacteria--p__Proteobacteria--c__Gammaproteobacteria--o__Pasteurellales--f__Pasteurellaceae--g__Haemophilus--__",0.789956766372311,0.0576764245089636,0.692804565910114,0.0453645112452465,0.927489762121742,0.114513981036324,0.94213480324154,0.232202978617621
"d__Bacteria--p__Proteobacteria--c__Gammaproteobacteria--o__Xanthomonadales--f__Rhodanobacteraceae",0.942180384632749,0.283670942763047,0.914145098599753,0.283308048069396,0.982120528283545,0.480345443726767,0.94213480324154,0.558452359140164
"d__Bacteria--p__Proteobacteria--c__Gammaproteobacteria--o__Xanthomonadales--f__Rhodanobacteraceae--__",0.942180384632749,0.267995841253545,0.914145098599753,0.283308048069396,0.982120528283545,0.435280454436762,0.94213480324154,0.513667533556772
"d__Bacteria--p__Proteobacteria--c__Gammaproteobacteria--o__Xanthomonadales--f__Rhodanobacteraceae--__--__",0.942180384632749,0.267995841253545,0.914145098599753,0.283308048069396,0.982120528283545,0.435280454436762,0.94213480324154,0.513667533556772
"d__Bacteria--p__Proteobacteria--c__Gammaproteobacteria--__",0.915335264728371,0.753292133584509,0.874594955524981,0.656529386387363,0.94877591409675,0.663026878237942,0.94213480324154,0.693058360541337
"d__Bacteria--p__Proteobacteria--c__Gammaproteobacteria--__--__",0.915335264728371,0.753292133584509,0.874594955524981,0.656529386387363,0.94877591409675,0.663026878237942,0.94213480324154,0.693058360541337
"d__Bacteria--p__Proteobacteria--c__Gammaproteobacteria--__--__--__",0.915335264728371,0.753292133584509,0.874594955524981,0.656529386387363,0.94877591409675,0.663026878237942,0.94213480324154,0.693058360541337
"d__Bacteria--p__Proteobacteria--c__Gammaproteobacteria--__--__--__--__",0.915335264728371,0.753292133584509,0.874594955524981,0.656529386387363,0.94877591409675,0.663026878237942,0.94213480324154,0.693058360541337
"d__Bacteria--p__Firmicutes--c__Clostridia--o__Clostridiales--f__Lachnospiraceae--g__Lachnoclostridium",0.814644892238888,0.585020471994398,0.618346440591909,0.456552736098608,0.804755791421785,0.547955030554368,0.832589932494211,0.51993789835443
"d__Bacteria--p__Firmicutes--c__Clostridia--o__Clostridiales--f__Lachnospiraceae--g__Lachnoclostridium--__",0.814644892238888,0.585020471994398,0.618346440591909,0.456552736098608,0.804755791421785,0.547955030554368,0.832589932494211,0.51993789835443
"d__Bacteria--p__Proteobacteria--c__Deltaproteobacteria",0.917245860079151,0.726826979356506,0.943128652896191,0.656529386387363,0.982120528283545,0.678745012918443,0.974817410519866,0.708917507976935
"d__Bacteria--p__Firmicutes--c__Clostridia--o__Clostridiales--f__Clostridiaceae_1--g__Clostridium_sensu_stricto_1",0.517744850821231,0.34202550697776,0.524109770601009,0.341373242045325,0.94877591409675,0.663026878237942,0.837768464465458,0.516422095569753
"d__Bacteria--p__Firmicutes--c__Clostridia--o__Clostridiales--f__Clostridiaceae_1--g__Clostridium_sensu_stricto_1--__",0.517744850821231,0.34202550697776,0.524109770601009,0.341373242045325,0.94877591409675,0.663026878237942,0.837768464465458,0.516422095569753
"d__Bacteria--p__Proteobacteria--c__Deltaproteobacteria--o__Desulfovibrionales",0.921405310748665,0.718829168449063,0.948574476450962,0.656387486420542,0.982521578450382,0.678745012918443,0.974817410519866,0.692104516817238
"d__Bacteria--p__Proteobacteria--c__Deltaproteobacteria--o__Desulfovibrionales--f__Desulfovibrionaceae",0.921405310748665,0.718829168449063,0.948574476450962,0.656387486420542,0.982521578450382,0.678745012918443,0.974817410519866,0.692104516817238
"d__Bacteria--p__Actinobacteria--c__Actinobacteria--o__Bifidobacteriales",0.558868494282357,0.903678438589938,0.514548704953511,0.82133932173188,0.654128269696307,0.965982511566446,0.837768464465458,0.877879091730843
"d__Bacteria--p__Actinobacteria--c__Actinobacteria--o__Bifidobacteriales--f__Bifidobacteriaceae",0.558868494282357,0.903678438589938,0.514548704953511,0.82133932173188,0.654128269696307,0.965982511566446,0.837768464465458,0.877879091730843
"d__Bacteria--p__Actinobacteria--c__Actinobacteria--o__Bifidobacteriales--f__Bifidobacteriaceae--g__Bifidobacterium",0.558868494282357,0.903678438589938,0.514548704953511,0.82133932173188,0.654128269696307,0.965982511566446,0.837768464465458,0.877879091730843
